package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Lens.Internal.Context,Parser,5.98,17.473
lens-4.17.1,Control.Lens.Internal.Context,Simplifier,58.82,55.152
lens-4.17.1,Control.Lens.Internal.Deque,CodeGen,165.49,216.715
lens-4.17.1,Control.Lens.Internal.Deque,CorePrep,5.1899999999999995,7.38
lens-4.17.1,Control.Lens.Internal.Deque,CoreTidy,3.19,2.79
lens-4.17.1,Control.Lens.Internal.Deque,Desugar,10.98,12.027
lens-4.17.1,Control.Lens.Internal.Deque,Parser,4.38,11.048
lens-4.17.1,Control.Lens.Internal.Deque,Simplifier,27.15,32.565
lens-4.17.1,Control.Lens.Internal.Exception,CodeGen,42.75,52.650000000000006
lens-4.17.1,Control.Lens.Internal.Exception,CorePrep,2.39,2.3339999999999996
lens-4.17.1,Control.Lens.Internal.Exception,CoreTidy,1.24,0.876
lens-4.17.1,Control.Lens.Internal.Exception,Desugar,5.11,3.118
lens-4.17.1,Control.Lens.Internal.Exception,Parser,2.43,8.015
lens-4.17.1,Control.Lens.Internal.Exception,Simplifier,8.53,7.285
lens-4.17.1,Control.Lens.Internal.FieldTH,CodeGen,299.6,410.53700000000003
lens-4.17.1,Control.Lens.Internal.FieldTH,CorePrep,9.91,13.834
lens-4.17.1,Control.Lens.Internal.FieldTH,CoreTidy,2.99,3.055
lens-4.17.1,Control.Lens.Internal.FieldTH,Desugar,17.29,29.984
lens-4.17.1,Control.Lens.Internal.FieldTH,Parser,8.83,21.901
lens-4.17.1,Control.Lens.Internal.FieldTH,Simplifier,35.13,28.921
lens-4.17.1,Control.Lens.Internal.Fold,CodeGen,94.19,115.523
lens-4.17.1,Control.Lens.Internal.Fold,CorePrep,3.2,5.048
lens-4.17.1,Control.Lens.Internal.Fold,CoreTidy,2.15,2.516
lens-4.17.1,Control.Lens.Internal.Fold,Desugar,6.5,7.887
lens-4.17.1,Control.Lens.Internal.Fold,Parser,3.52,10.699
lens-4.17.1,Control.Lens.Internal.Fold,Simplifier,17.52,20.136
lens-4.17.1,Control.Lens.Internal.Getter,CodeGen,185.39,229.934
lens-4.17.1,Control.Lens.Internal.Getter,CorePrep,8.05,9.038
lens-4.17.1,Control.Lens.Internal.Getter,CoreTidy,2.77,3.316
lens-4.17.1,Control.Lens.Internal.Getter,Desugar,79.56,11.833
lens-4.17.1,Control.Lens.Internal.Getter,Parser,2.7,5.468
lens-4.17.1,Control.Lens.Internal.Getter,Simplifier,17.9,26.29
lens-4.17.1,Control.Lens.Internal.Indexed,CodeGen,155.83,188.852
lens-4.17.1,Control.Lens.Internal.Indexed,CorePrep,9.44,10.015
lens-4.17.1,Control.Lens.Internal.Indexed,CoreTidy,3.85,4.284
lens-4.17.1,Control.Lens.Internal.Indexed,Desugar,25.65,24.505
lens-4.17.1,Control.Lens.Internal.Indexed,Parser,7.8,18.209
lens-4.17.1,Control.Lens.Internal.Indexed,Simplifier,136.74,35.525
lens-4.17.1,Control.Lens.Internal.Instances,CodeGen,1.29,0.555
lens-4.17.1,Control.Lens.Internal.Instances,CorePrep,0.41000000000000003,0.122
lens-4.17.1,Control.Lens.Internal.Instances,CoreTidy,0.19,0.073
lens-4.17.1,Control.Lens.Internal.Instances,Desugar,0.35,0.103
lens-4.17.1,Control.Lens.Internal.Instances,Parser,0.14,0.255
lens-4.17.1,Control.Lens.Internal.Instances,Simplifier,0.42,0.167
lens-4.17.1,Control.Lens.Internal.Iso,CodeGen,12.260000000000002,13.709
lens-4.17.1,Control.Lens.Internal.Iso,CorePrep,0.8999999999999999,0.924
lens-4.17.1,Control.Lens.Internal.Iso,CoreTidy,0.67,0.668
lens-4.17.1,Control.Lens.Internal.Iso,Desugar,2.41,2.052
lens-4.17.1,Control.Lens.Internal.Iso,Parser,1.68,5.602
lens-4.17.1,Control.Lens.Internal.Iso,Simplifier,3.51,4.578
lens-4.17.1,Control.Lens.Internal.Level,CodeGen,116.16,161.552
lens-4.17.1,Control.Lens.Internal.Level,CorePrep,3.8899999999999997,5.913
lens-4.17.1,Control.Lens.Internal.Level,CoreTidy,2.21,2.385
lens-4.17.1,Control.Lens.Internal.Level,Desugar,8.12,9.643
lens-4.17.1,Control.Lens.Internal.Level,Parser,3.07,9.103
lens-4.17.1,Control.Lens.Internal.Level,Simplifier,22.48,29.948
lens-4.17.1,Control.Lens.Internal.List,CodeGen,6.630000000000001,7.431
lens-4.17.1,Control.Lens.Internal.List,CorePrep,0.5900000000000001,0.298
lens-4.17.1,Control.Lens.Internal.List,CoreTidy,0.22,0.09
lens-4.17.1,Control.Lens.Internal.List,Desugar,1.22,0.387
lens-4.17.1,Control.Lens.Internal.List,Parser,1.1,3.913
lens-4.17.1,Control.Lens.Internal.List,Simplifier,0.62,0.384
lens-4.17.1,Control.Lens.Internal.Magma,CodeGen,137.73000000000002,181.21
lens-4.17.1,Control.Lens.Internal.Magma,CorePrep,6.66,9.137
lens-4.17.1,Control.Lens.Internal.Magma,CoreTidy,3.64,4.296
lens-4.17.1,Control.Lens.Internal.Magma,Desugar,13.06,14.752
lens-4.17.1,Control.Lens.Internal.Magma,Parser,4.72,14.055
lens-4.17.1,Control.Lens.Internal.Magma,Simplifier,32.44,32.321
lens-4.17.1,Control.Lens.Internal.Prism,CodeGen,22,27.738
lens-4.17.1,Control.Lens.Internal.Prism,CorePrep,1.29,1.346
lens-4.17.1,Control.Lens.Internal.Prism,CoreTidy,0.82,0.729
lens-4.17.1,Control.Lens.Internal.Prism,Desugar,2.9,2.235
lens-4.17.1,Control.Lens.Internal.Prism,Parser,1.89,5.303
lens-4.17.1,Control.Lens.Internal.Prism,Simplifier,4.36,5.397
lens-4.17.1,Control.Lens.Internal.PrismTH,CodeGen,188.57999999999998,254.11599999999999
lens-4.17.1,Control.Lens.Internal.PrismTH,CorePrep,5.62,7.518
lens-4.17.1,Control.Lens.Internal.PrismTH,CoreTidy,1.33,1.149
lens-4.17.1,Control.Lens.Internal.PrismTH,Desugar,7.22,8.089
lens-4.17.1,Control.Lens.Internal.PrismTH,Parser,5.12,14.779
lens-4.17.1,Control.Lens.Internal.PrismTH,Simplifier,12.07,14.267
lens-4.17.1,Control.Lens.Internal.Review,CodeGen,6.21,5.979
lens-4.17.1,Control.Lens.Internal.Review,CorePrep,0.64,0.41
lens-4.17.1,Control.Lens.Internal.Review,CoreTidy,0.29,0.204
lens-4.17.1,Control.Lens.Internal.Review,Desugar,0.65,0.434
