package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Lens.Internal.Deque,Desugar,10.29,13.034
lens-4.17.1,Control.Lens.Internal.Deque,Parser,3.68,11.048
lens-4.17.1,Control.Lens.Internal.Deque,Simplifier,2648.24,2605.887
lens-4.17.1,Control.Lens.Internal.Deque,SpecConstr,22.74,23.479
lens-4.17.1,Control.Lens.Internal.Deque,Specialise,4.97,8.908
lens-4.17.1,Control.Lens.Internal.Exception,CodeGen,42.66,57.754000000000005
lens-4.17.1,Control.Lens.Internal.Exception,CorePrep,1.9300000000000002,2.63
lens-4.17.1,Control.Lens.Internal.Exception,CoreTidy,1.61,1.838
lens-4.17.1,Control.Lens.Internal.Exception,Desugar,4.65,3.876
lens-4.17.1,Control.Lens.Internal.Exception,Parser,2.32,8.015
lens-4.17.1,Control.Lens.Internal.Exception,Simplifier,48.67,66.433
lens-4.17.1,Control.Lens.Internal.Exception,SpecConstr,0.46,0.808
lens-4.17.1,Control.Lens.Internal.Exception,Specialise,0.51,0.686
lens-4.17.1,Control.Lens.Internal.FieldTH,CodeGen,452.49,810.26
lens-4.17.1,Control.Lens.Internal.FieldTH,CorePrep,19.68,35.20099999999999
lens-4.17.1,Control.Lens.Internal.FieldTH,CoreTidy,12.03,15.471
lens-4.17.1,Control.Lens.Internal.FieldTH,Desugar,14.83,30.842
lens-4.17.1,Control.Lens.Internal.FieldTH,Parser,6.3,21.901
lens-4.17.1,Control.Lens.Internal.FieldTH,Simplifier,886.17,1141.293
lens-4.17.1,Control.Lens.Internal.FieldTH,SpecConstr,7.92,14.665
lens-4.17.1,Control.Lens.Internal.FieldTH,Specialise,5.07,8.764
lens-4.17.1,Control.Lens.Internal.Fold,CodeGen,106.71,152.673
lens-4.17.1,Control.Lens.Internal.Fold,CorePrep,4.43,6.582
lens-4.17.1,Control.Lens.Internal.Fold,CoreTidy,2.8,4.179
lens-4.17.1,Control.Lens.Internal.Fold,Desugar,5.94,8.029
lens-4.17.1,Control.Lens.Internal.Fold,Parser,3.27,10.699
lens-4.17.1,Control.Lens.Internal.Fold,Simplifier,105.66,148.1
lens-4.17.1,Control.Lens.Internal.Fold,SpecConstr,1.52,2.565
lens-4.17.1,Control.Lens.Internal.Fold,Specialise,0.81,1.684
lens-4.17.1,Control.Lens.Internal.Getter,CodeGen,265.02,372.29200000000003
lens-4.17.1,Control.Lens.Internal.Getter,CorePrep,9.85,16.732
lens-4.17.1,Control.Lens.Internal.Getter,CoreTidy,7.64,10.295
lens-4.17.1,Control.Lens.Internal.Getter,Desugar,15.56,13.682
lens-4.17.1,Control.Lens.Internal.Getter,Parser,2.92,5.468
lens-4.17.1,Control.Lens.Internal.Getter,Simplifier,380.32,348.582
lens-4.17.1,Control.Lens.Internal.Getter,SpecConstr,3.5,3.748
lens-4.17.1,Control.Lens.Internal.Getter,Specialise,1.54,3.428
lens-4.17.1,Control.Lens.Internal.Indexed,CodeGen,162.2,230.555
lens-4.17.1,Control.Lens.Internal.Indexed,CorePrep,7.75,13.791
lens-4.17.1,Control.Lens.Internal.Indexed,CoreTidy,5.91,8.262
lens-4.17.1,Control.Lens.Internal.Indexed,Desugar,27.94,25.319
lens-4.17.1,Control.Lens.Internal.Indexed,Parser,5.84,18.209
lens-4.17.1,Control.Lens.Internal.Indexed,Simplifier,322.57,390.29600000000005
lens-4.17.1,Control.Lens.Internal.Indexed,SpecConstr,1.62,3.163
lens-4.17.1,Control.Lens.Internal.Indexed,Specialise,1.48,2.792
lens-4.17.1,Control.Lens.Internal.Instances,CodeGen,1.17,0.589
lens-4.17.1,Control.Lens.Internal.Instances,CorePrep,0.33999999999999997,0.122
lens-4.17.1,Control.Lens.Internal.Instances,CoreTidy,0.19,0.085
lens-4.17.1,Control.Lens.Internal.Instances,Desugar,0.36,0.103
lens-4.17.1,Control.Lens.Internal.Instances,Parser,0.17,0.255
lens-4.17.1,Control.Lens.Internal.Instances,Simplifier,1.7,0.8709999999999999
lens-4.17.1,Control.Lens.Internal.Instances,SpecConstr,0.13,0.059
